Seed_hex, Seed, Ret, Elapsed
0x7887654300, 517667635968, Generic, 0
0x3206afbf06, 214860545798, Generic, 0
0xeb85fa3b02, 1011565083394, Generic, 0
0xa50544b700, 708757993216, Generic, 0
0x5e848f3304, 405950903044, Generic, 0
0x1803d9af82, 103143812994, Generic, 0
0xd183242b86, 899848350598, Generic, 0
0x8b026ea784, 597041260420, Generic, 0
0x4481b92380, 294234170240, Generic, 0
0xfe01039f86, 1090938707846, Generic, 0
0xb7804e1b82, 788131617666, Generic, 0
0x70ff989800, 485324527616, Generic, 0
0x2a7ee31404, 182517437444, Generic, 0
0xe3fe2d9002, 979221975042, Generic, 0
0x9d7d780c06, 676414884870, Generic, 0
0x56fcc28804, 373607794692, Generic, 0
0x107c0d0400, 70800704512, Generic, 0
0xc9fb578086, 867505242246, Generic, 0
0x837aa1fc82, 564698152066, Generic, 0
0x3cf9ec7880, 261891061888, Generic, 0
0xf67936f484, 1058595599492, Generic, 0
0xaff8817082, 755788509314, Generic, 0
0x6977cbec86, 452981419142, Generic, 0
0x22f7166904, 150174329092, Generic, 0
0xdc7660e500, 946878866688, Generic, 0
0x95f5ab6106, 644071776518, Generic, 0
0x4f74f5dd02, 341264686338, Generic, 0
0x8f4405900, 38457596160, Generic, 0
0xc2738ad504, 835162133764, Generic, 0
0x7bf2d55182, 532355043714, Generic, 0
0x35721fcd86, 229547953542, Generic, 0
0xeef16a4984, 1026252491140, Generic, 0
0xa870b4c580, 723445400960, Generic, 0
0x61efff4186, 420638310790, Generic, 0
0x1b6f49bd82, 117831220610, Generic, 0
0xd4ee943a00, 914535758336, Generic, 0
0x8e6ddeb604, 611728668164, Generic, 0
0x47ed293202, 308921577986, Generic, 0
0x16c73ae06, 6114487814, Generic, 0
0xbaebbe2a04, 802819025412, Generic, 0
0x746b08a600, 500011935232, Generic, 0
0x2dea532206, 197204845062, Generic, 0
0xe7699d9e82, 993909382786, Generic, 0
0xa0e8e81a80, 691102292608, Generic, 0
0x5a68329684, 388295202436, Generic, 0
0x13e77d1282, 85488112258, Generic, 0
0xcd66c78e86, 882192649862, Generic, 0
0x86e6120a84, 579385559684, Generic, 0
0x40655c8700, 276578469632, Generic, 0
0xf9e4a70306, 1073283007238, Generic, 0
